Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -150757.14   -151059.05       301.91   295.4
0.001       -150757.26   -151059.05       301.78   295.3
0.002       -150757.09   -151059.42       302.33   295.8
0.002       -150757.24   -151059.41       302.17   295.7
0.003       -150757.09   -151060.03       302.95   296.4
0.003       -150757.22   -151060.01       302.79   296.3
0.004       -150757.08   -151060.80       303.72   297.2
0.004       -150757.29   -151060.75       303.47   296.9
0.005       -150757.04   -151061.57       304.53   298.0
0.005       -150757.32   -151061.52       304.20   297.6
0.006       -150757.08   -151062.22       305.14   298.6
0.006       -150757.39   -151062.18       304.79   298.2
0.007       -150757.00   -151062.64       305.64   299.0
0.007       -150757.35   -151062.63       305.27   298.7
0.008       -150756.96   -151062.76       305.79   299.2
0.008       -150757.29   -151062.78       305.49   298.9
0.009       -150756.90   -151062.53       305.63   299.0
0.009       -150757.37   -151062.62       305.24   298.7
0.010       -150756.92   -151062.01       305.09   298.5
0.010       -150757.32   -151062.15       304.83   298.3
0.011       -150756.93   -151061.28       304.34   297.8
0.011       -150757.36   -151061.47       304.10   297.5
0.012       -150756.85   -151060.45       303.60   297.0
0.012       -150757.35   -151060.69       303.34   296.8
0.013       -150756.91   -151059.67       302.76   296.2
0.013       -150757.41   -151059.96       302.55   296.0
0.014       -150756.87   -151059.06       302.19   295.7
0.014       -150757.38   -151059.40       302.02   295.5
0.015       -150756.86   -151058.70       301.84   295.3
0.015       -150757.38   -151059.09       301.71   295.2
0.016       -150756.87   -151058.61       301.75   295.2
0.016       -150757.44   -151059.04       301.60   295.1
0.017       -150756.91   -151058.78       301.87   295.4
0.017       -150757.37   -151059.24       301.87   295.4
0.018       -150756.93   -151059.13       302.20   295.7
0.018       -150757.36   -151059.59       302.23   295.7
0.019       -150756.99   -151059.54       302.55   296.0
0.019       -150757.39   -151060.01       302.62   296.1
0.020       -150756.94   -151059.92       302.98   296.4
0.020       -150757.29   -151060.41       303.12   296.6
0.021       -150756.93   -151060.21       303.28   296.7
0.021       -150757.27   -151060.69       303.42   296.9
0.022       -150756.88   -151060.38       303.50   296.9
0.022       -150757.26   -151060.83       303.57   297.0
0.023       -150756.90   -151060.42       303.52   297.0
0.023       -150757.28   -151060.82       303.54   297.0
0.024       -150756.90   -151060.41       303.51   297.0
0.024       -150757.20   -151060.73       303.54   297.0
0.025       -150756.86   -151060.39       303.53   297.0
0.025       -150757.24   -151060.64       303.40   296.8
0.026       -150756.86   -151060.47       303.61   297.1
0.026       -150757.26   -151060.64       303.37   296.8
0.027       -150756.92   -151060.69       303.78   297.2
0.028       -150756.85   -151061.08       304.23   297.7
0.027       -150757.26   -151060.79       303.53   297.0
0.028       -150757.23   -151061.15       303.92   297.4
0.029       -150756.79   -151061.62       304.82   298.2
