Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -150961.42   -151260.90       299.48   292.6
0.002       -150961.45   -151261.23       299.77   292.9
0.003       -150961.46   -151261.85       300.39   293.5
0.004       -150961.39   -151262.63       301.25   294.3
0.005       -150961.41   -151263.40       301.99   295.0
0.006       -150961.47   -151264.01       302.54   295.6
0.007       -150961.43   -151264.39       302.96   296.0
0.008       -150961.43   -151264.51       303.08   296.1
0.009       -150961.48   -151264.41       302.94   295.9
0.010       -150961.46   -151264.18       302.73   295.7
0.011       -150961.50   -151263.94       302.43   295.5
0.012       -150961.53   -151263.77       302.24   295.3
0.013       -150961.43   -151263.78       302.35   295.4
0.014       -150961.34   -151263.98       302.64   295.7
0.015       -150961.37   -151264.36       303.00   296.0
0.016       -150961.34   -151264.87       303.54   296.5
0.017       -150961.30   -151265.45       304.15   297.1
0.018       -150961.28   -151266.02       304.74   297.7
0.019       -150961.24   -151266.50       305.26   298.2
0.020       -150961.30   -151266.81       305.51   298.5
0.021       -150961.25   -151266.88       305.63   298.6
0.022       -150961.26   -151266.69       305.44   298.4
0.023       -150961.27   -151266.24       304.97   297.9
0.024       -150961.22   -151265.55       304.34   297.3
0.025       -150961.18   -151264.71       303.54   296.5
0.026       -150961.18   -151263.82       302.64   295.7
0.027       -150961.18   -151262.97       301.79   294.8
0.028       -150961.19   -151262.29       301.10   294.2
0.029       -150961.16   -151261.86       300.70   293.8
0.030       -150961.14   -151261.72       300.58   293.6
0.031       -150961.17   -151261.86       300.69   293.8
0.032       -150961.14   -151262.25       301.11   294.2
0.033       -150961.11   -151262.81       301.70   294.7
0.034       -150961.12   -151263.45       302.32   295.3
0.035       -150961.13   -151264.07       302.94   295.9
0.036       -150961.13   -151264.60       303.47   296.5
0.037       -150961.05   -151264.98       303.94   296.9
0.038       -150960.99   -151265.19       304.20   297.2
0.039       -150960.99   -151265.22       304.23   297.2
0.040       -150961.03   -151265.10       304.07   297.1
0.041       -150961.02   -151264.85       303.83   296.8
0.042       -150960.98   -151264.53       303.54   296.5
0.043       -150960.99   -151264.19       303.20   296.2
0.044       -150961.01   -151263.91       302.89   295.9
0.045       -150961.03   -151263.73       302.70   295.7
0.046       -150960.99   -151263.72       302.73   295.7
0.047       -150960.94   -151263.86       302.92   295.9
0.048       -150960.99   -151264.15       303.15   296.2
0.049       -150960.99   -151264.53       303.55   296.5
0.050       -150960.94   -151264.93       303.99   297.0
0.051       -150960.95   -151265.24       304.29   297.3
0.052       -150960.90   -151265.37       304.48   297.5
0.053       -150960.95   -151265.28       304.33   297.3
0.054       -150961.00   -151264.97       303.97   297.0
0.055       -150960.99   -151264.49       303.50   296.5
0.056       -150960.97   -151263.93       302.96   296.0
0.057       -150961.01   -151263.38       302.38   295.4
0.058       -150960.97   -151262.95       301.97   295.0
0.059       -150960.94   -151262.68       301.74   294.8
0.060       -150960.93   -151262.60       301.67   294.7
0.061       -150961.03   -151262.68       301.65   294.7
0.062       -150961.07   -151262.87       301.80   294.8
0.063       -150961.06   -151263.09       302.03   295.1
0.064       -150961.06   -151263.30       302.23   295.3
0.065       -150961.10   -151263.46       302.36   295.4
0.066       -150961.09   -151263.56       302.47   295.5
0.067       -150961.18   -151263.61       302.43   295.5
0.068       -150961.30   -151263.64       302.34   295.4
0.069       -150961.31   -151263.67       302.35   295.4
0.070       -150961.39   -151263.69       302.30   295.3
0.071       -150961.47   -151263.71       302.24   295.3
0.072       -150961.45   -151263.71       302.26   295.3
0.073       -150961.43   -151263.69       302.25   295.3
0.074       -150961.41   -151263.63       302.23   295.3
0.075       -150961.37   -151263.56       302.20   295.2
0.076       -150961.38   -151263.49       302.11   295.1
0.077       -150961.47   -151263.43       301.96   295.0
0.078       -150961.44   -151263.40       301.96   295.0
0.079       -150961.53   -151263.42       301.89   294.9
0.080       -150961.53   -151263.51       301.99   295.0
0.081       -150961.55   -151263.66       302.12   295.1
