Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -167557.05   -167892.35       335.30   295.8
0.002       -167556.96   -167878.28       321.32   283.5
0.003       -167556.81   -167856.74       299.93   264.6
0.004       -167556.67   -167830.31       273.63   241.4
0.005       -167556.40   -167802.08       245.68   216.7
0.006       -167556.22   -167775.18       218.96   193.2
0.007       -167556.13   -167752.27       196.15   173.0
0.008       -167556.12   -167735.17       179.05   157.9
0.009       -167556.14   -167724.60       168.46   148.6
0.010       -167556.21   -167720.20       163.98   144.7
0.011       -167556.35   -167720.66       164.31   144.9
0.012       -167556.48   -167724.08       167.60   147.8
0.013       -167034.09   -167725.12       691.03   609.6
0.014       -167034.12   -167709.91       675.79   596.1
0.015       -167033.93   -167678.72       644.79   568.8
0.016       -167033.69   -167634.53       600.84   530.0
0.017       -167033.35   -167582.45       549.10   484.4
0.018       -167033.02   -167528.78       495.76   437.3
0.019       -167032.68   -167479.87       447.19   394.5
0.020       -167032.55   -167440.98       408.43   360.3
0.021       -167032.47   -167415.44       382.97   337.8
0.022       -167032.49   -167404.09       371.60   327.8
0.023       -167032.71   -167405.38       372.67   328.7
0.024       -167033.01   -167415.87       382.86   337.7
0.025       -167114.09   -167430.59       316.50   279.2
0.026       -167114.25   -167447.57       333.32   294.0
0.027       -167114.52   -167462.60       348.08   307.1
0.028       -167114.63   -167472.35       357.72   315.6
0.029       -167114.62   -167474.78       360.17   317.7
0.030       -167114.51   -167469.39       354.88   313.1
0.031       -167114.39   -167457.15       342.76   302.4
0.032       -167114.19   -167440.33       326.14   287.7
0.033       -167113.95   -167421.98       308.03   271.7
0.034       -167113.71   -167405.49       291.78   257.4
0.035       -167113.60   -167393.94       280.34   247.3
0.036       -167113.46   -167389.61       276.16   243.6
0.037       -166970.91   -167391.87       420.96   371.3
0.038       -166970.86   -167399.13       428.27   377.8
0.039       -166970.99   -167410.51       439.52   387.7
0.040       -166971.15   -167424.42       453.28   399.9
0.041       -166971.19   -167438.84       467.65   412.5
0.042       -166971.39   -167451.62       480.23   423.6
0.043       -166971.56   -167460.82       489.26   431.6
0.044       -166971.54   -167465.00       493.47   435.3
0.045       -166971.52   -167463.44       491.91   433.9
0.046       -166971.60   -167456.22       484.62   427.5
0.047       -166971.43   -167444.25       472.82   417.1
0.048       -166971.24   -167429.11       457.87   403.9
0.049       -167176.34   -167419.72       243.37   214.7
0.050       -167176.30   -167416.04       239.74   211.5
0.051       -167176.35   -167418.29       241.94   213.4
0.052       -167176.48   -167425.71       249.23   219.9
0.053       -167176.57   -167436.78       260.20   229.5
0.054       -167176.66   -167449.50       272.84   240.7
0.055       -167176.74   -167461.79       285.05   251.5
0.056       -167176.84   -167471.82       294.98   260.2
0.057       -167176.95   -167478.35       301.40   265.9
0.058       -167176.97   -167480.89       303.92   268.1
0.059       -167176.83   -167479.74       302.91   267.2
0.060       -167176.69   -167475.91       299.22   264.0
0.061       -167089.27   -167468.75       379.48   334.7
0.062       -167089.22   -167459.44       370.22   326.6
0.063       -167089.11   -167450.27       361.16   318.6
0.064       -167088.92   -167443.42       354.49   312.7
0.065       -167088.90   -167440.55       351.65   310.2
0.066       -167088.92   -167442.54       353.62   311.9
0.067       -167088.98   -167449.34       360.36   317.9
0.068       -167089.04   -167460.07       371.03   327.3
0.069       -167089.21   -167473.13       383.91   338.7
0.070       -167089.44   -167486.57       397.12   350.3
0.071       -167089.55   -167498.47       408.93   360.7
0.072       -167089.59   -167507.26       417.67   368.4
0.073       -167230.37   -167512.93       282.56   249.3
0.074       -167230.39   -167518.56       288.17   254.2
0.075       -167230.35   -167523.92       293.57   259.0
0.076       -167230.29   -167528.95       298.66   263.5
0.077       -167230.20   -167533.76       303.56   267.8
0.078       -167230.17   -167538.52       308.35   272.0
0.079       -167230.19   -167543.42       313.23   276.3
0.080       -167230.11   -167548.59       318.48   280.9
0.081       -167230.15   -167554.06       323.91   285.7
0.082       -167230.22   -167559.74       329.52   290.7
0.083       -167230.29   -167565.42       335.13   295.6
0.084       -167230.32   -167570.81       340.49   300.4
0.085       -167231.13   -167575.51       344.39   303.8
0.086       -167231.07   -167579.08       348.01   307.0
0.087       -167231.08   -167581.11       350.03   308.8
0.088       -167231.04   -167581.32       350.28   309.0
0.089       -167230.96   -167579.70       348.74   307.6
0.090       -167230.99   -167576.51       345.52   304.8
0.091       -167230.86   -167572.29       341.44   301.2
0.092       -167230.84   -167567.76       336.92   297.2
0.093       -167230.70   -167563.66       332.96   293.7
0.094       -167230.67   -167560.64       329.97   291.1
0.095       -167230.68   -167559.11       328.43   289.7
0.096       -167230.67   -167559.23       328.56   289.8
0.097       -167207.22   -167560.56       353.34   311.7
0.098       -167207.21   -167562.42       355.21   313.3
0.099       -167207.33   -167564.38       357.05   315.0
0.100       -167207.32   -167566.05       358.73   316.4
0.101       -167207.39   -167567.14       359.75   317.3
0.102       -167207.37   -167567.52       360.15   317.7
0.103       -167207.28   -167567.19       359.92   317.5
0.104       -167207.22   -167566.32       359.10   316.8
0.105       -167207.20   -167565.17       357.96   315.8
0.106       -167207.11   -167564.05       356.94   314.9
0.107       -167207.16   -167563.29       356.13   314.2
0.108       -167207.14   -167563.17       356.02   314.1
0.109       -167238.28   -167564.21       325.93   287.5
0.110       -167238.31   -167566.76       328.45   289.7
0.111       -167238.35   -167570.52       332.17   293.0
0.112       -167238.35   -167574.98       336.63   297.0
