Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -150886.38   -151192.40       306.02   299.1
0.002       -150886.33   -151192.21       305.89   299.0
0.003       -150886.31   -151192.12       305.82   298.9
0.004       -150886.32   -151192.13       305.81   298.9
0.005       -150886.25   -151192.19       305.94   299.0
0.006       -150886.25   -151192.25       306.00   299.1
0.007       -150886.24   -151192.24       306.00   299.1
0.008       -150886.16   -151192.12       305.96   299.1
0.009       -150886.17   -151191.90       305.73   298.8
0.010       -150886.15   -151191.63       305.48   298.6
0.011       -150886.16   -151191.36       305.20   298.3
0.012       -150886.16   -151191.19       305.03   298.1
0.013       -150886.10   -151191.15       305.05   298.2
0.014       -150886.13   -151191.27       305.13   298.2
0.015       -150886.13   -151191.50       305.37   298.5
0.016       -150886.03   -151191.79       305.76   298.9
0.017       -150885.95   -151192.07       306.12   299.2
0.018       -150885.97   -151192.28       306.32   299.4
0.019       -150886.06   -151192.40       306.34   299.4
0.020       -150886.12   -151192.43       306.32   299.4
0.021       -150886.15   -151192.38       306.23   299.3
0.022       -150886.20   -151192.27       306.08   299.2
0.023       -150886.36   -151192.13       305.78   298.9
0.024       -150886.37   -151191.97       305.60   298.7
0.025       -150886.37   -151191.80       305.43   298.5
0.026       -150886.33   -151191.59       305.26   298.4
0.027       -150886.34   -151191.36       305.02   298.1
0.028       -150886.33   -151191.12       304.79   297.9
0.029       -150886.27   -151190.92       304.65   297.8
0.030       -150886.30   -151190.76       304.46   297.6
0.031       -150886.30   -151190.69       304.39   297.5
0.032       -150886.43   -151190.72       304.29   297.4
0.033       -150886.48   -151190.84       304.36   297.5
0.034       -150886.53   -151191.05       304.51   297.6
0.035       -150886.54   -151191.27       304.74   297.9
0.036       -150886.57   -151191.50       304.93   298.0
0.037       -150886.52   -151191.69       305.18   298.3
0.038       -150886.51   -151191.85       305.34   298.4
0.039       -150886.51   -151191.96       305.45   298.6
0.040       -150886.55   -151192.03       305.48   298.6
0.041       -150886.56   -151192.04       305.48   298.6
0.042       -150886.59   -151192.01       305.42   298.5
0.043       -150886.57   -151191.92       305.35   298.5
0.044       -150886.67   -151191.77       305.10   298.2
0.045       -150886.68   -151191.52       304.84   298.0
0.046       -150886.76   -151191.19       304.43   297.6
0.047       -150886.77   -151190.78       304.01   297.1
0.048       -150886.77   -151190.33       303.56   296.7
0.049       -150886.76   -151189.90       303.14   296.3
0.050       -150886.80   -151189.55       302.75   295.9
0.051       -150886.85   -151189.35       302.50   295.7
0.052       -150886.83   -151189.33       302.50   295.7
0.053       -150886.79   -151189.49       302.70   295.9
0.054       -150886.79   -151189.82       303.04   296.2
0.055       -150886.81   -151190.25       303.44   296.6
0.056       -150886.79   -151190.69       303.90   297.0
0.057       -150886.82   -151191.06       304.23   297.4
0.058       -150886.78   -151191.28       304.50   297.6
0.059       -150886.81   -151191.31       304.50   297.6
0.060       -150886.83   -151191.15       304.32   297.4
0.061       -150886.81   -151190.84       304.03   297.2
0.062       -150886.79   -151190.44       303.65   296.8
0.063       -150886.78   -151190.04       303.26   296.4
0.064       -150886.81   -151189.74       302.93   296.1
0.065       -150886.88   -151189.61       302.73   295.9
0.066       -150886.86   -151189.70       302.83   296.0
0.067       -150886.88   -151190.00       303.11   296.3
0.068       -150886.87   -151190.48       303.60   296.7
0.069       -150886.90   -151191.04       304.14   297.3
0.070       -150886.88   -151191.60       304.72   297.8
0.071       -150886.85   -151192.06       305.21   298.3
0.072       -150886.92   -151192.33       305.42   298.5
0.073       -150886.94   -151192.40       305.46   298.6
0.074       -150886.92   -151192.27       305.35   298.5
0.075       -150886.97   -151192.02       305.05   298.2
0.076       -150886.97   -151191.78       304.82   297.9
0.077       -150886.89   -151191.67       304.78   297.9
0.078       -150886.95   -151191.77       304.81   297.9
0.079       -150887.04   -151192.10       305.07   298.2
0.080       -150887.03   -151192.63       305.60   298.7
0.081       -150887.08   -151193.27       306.19   299.3
0.082       -150887.12   -151193.89       306.78   299.9
0.083       -150887.08   -151194.39       307.31   300.4
0.084       -150887.09   -151194.67       307.58   300.6
0.085       -150887.06   -151194.70       307.64   300.7
0.086       -150887.01   -151194.52       307.51   300.6
0.087       -150887.03   -151194.18       307.15   300.2
0.088       -150886.96   -151193.78       306.82   299.9
0.089       -150886.93   -151193.41       306.48   299.6
0.090       -150886.83   -151193.11       306.27   299.4
0.091       -150886.84   -151192.89       306.06   299.2
0.092       -150886.80   -151192.75       305.95   299.0
0.093       -150886.77   -151192.65       305.88   299.0
0.094       -150886.77   -151192.57       305.80   298.9
0.095       -150886.82   -151192.48       305.65   298.8
0.096       -150886.87   -151192.39       305.51   298.6
0.097       -150886.92   -151192.31       305.39   298.5
0.098       -150886.83   -151192.27       305.44   298.5
0.099       -150886.87   -151192.29       305.42   298.5
0.100       -150886.89   -151192.37       305.48   298.6
0.101       -150886.87   -151192.53       305.66   298.8
0.102       -150886.83   -151192.78       305.95   299.0
0.103       -150886.86   -151193.12       306.26   299.3
0.104       -150886.87   -151193.55       306.68   299.8
0.105       -150886.87   -151194.06       307.19   300.3
0.106       -150886.92   -151194.62       307.70   300.8
0.107       -150886.89   -151195.18       308.29   301.3
0.108       -150886.88   -151195.70       308.82   301.9
