Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -167419.15   -167759.33       340.17   300.1
0.002       -167419.18   -167759.10       339.92   299.9
0.003       -167419.21   -167758.60       339.39   299.4
0.004       -167419.18   -167757.86       338.68   298.8
0.005       -167419.15   -167756.99       337.84   298.0
0.006       -167419.12   -167756.11       336.99   297.3
0.007       -167419.10   -167755.38       336.28   296.6
0.008       -167419.05   -167754.90       335.85   296.3
0.009       -167419.16   -167754.74       335.58   296.0
0.010       -167419.18   -167754.89       335.72   296.1
0.011       -167419.23   -167755.31       336.08   296.5
0.012       -167419.20   -167755.86       336.66   297.0
0.013       -167419.27   -167756.42       337.15   297.4
0.014       -167419.35   -167756.85       337.49   297.7
0.015       -167419.33   -167757.05       337.72   297.9
0.016       -167419.32   -167757.03       337.71   297.9
0.017       -167419.29   -167756.82       337.53   297.7
0.018       -167419.36   -167756.53       337.17   297.4
0.019       -167419.41   -167756.26       336.85   297.2
0.020       -167419.42   -167756.12       336.70   297.0
0.021       -167419.41   -167756.16       336.75   297.1
0.022       -167419.49   -167756.39       336.91   297.2
0.023       -167419.41   -167756.77       337.36   297.6
0.024       -167419.34   -167757.24       337.89   298.1
0.025       -167419.39   -167757.73       338.34   298.5
0.026       -167419.36   -167758.19       338.82   298.9
0.027       -167419.37   -167758.58       339.21   299.2
0.028       -167419.36   -167758.85       339.49   299.5
0.029       -167419.34   -167758.98       339.64   299.6
0.030       -167419.34   -167758.94       339.60   299.6
0.031       -167419.36   -167758.74       339.38   299.4
0.032       -167419.32   -167758.36       339.04   299.1
0.033       -167419.37   -167757.85       338.49   298.6
0.034       -167419.44   -167757.26       337.82   298.0
0.035       -167419.42   -167756.66       337.24   297.5
0.036       -167419.42   -167756.13       336.71   297.0
0.037       -167419.42   -167755.73       336.31   296.7
0.038       -167419.44   -167755.50       336.06   296.4
0.039       -167419.45   -167755.47       336.02   296.4
0.040       -167419.48   -167755.58       336.11   296.5
0.041       -167419.53   -167755.77       336.24   296.6
0.042       -167419.57   -167755.96       336.38   296.7
0.043       -167419.74   -167756.05       336.31   296.7
0.044       -167419.74   -167755.98       336.23   296.6
0.045       -167419.64   -167755.70       336.06   296.4
0.046       -167419.71   -167755.23       335.52   296.0
0.047       -167419.81   -167754.61       334.79   295.3
0.048       -167419.86   -167753.93       334.08   294.7
